Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),PV_component
1,1,0,0,0,24.04,3,0,24.04,0,0,
1,1,1,0,0,23.907,3,0,23.907,0,0,0
1,1,2,0,0,23.814,2,0,23.814,0,0,0
1,1,3,0,0,23.695,3,0,23.695,0,0,0
1,1,4,0,0,23.588,3,0,23.588,0,0,0
1,1,5,0,0,22.653,3,0,22.653,0,0,0
1,1,6,0,2,22.994,3,1.89,21.514,3.469,0,0
1,1,7,330,91,23.951,2,268.375,29.468,458.04,409.343,204.6715
1,1,8,623,126,25.495,2,576.351,39.825,957.873,864.003,636.673
1,1,9,788,121,26.621,2,804.117,47.496,1295.31,1168.745,1016.374
1,1,10,848,149,27.59,2,972.197,53.127,1523.05,1373.417,1271.081
1,1,11,875,155,28.304,1,1043.502,60.552,1569.563,1415.12,1394.2685
1,1,12,878,156,28.703,1,1033.262,60.903,1550.941,1398.427,1406.7735
1,1,13,859,152,28.785,1,944.748,58.632,1434.89,1294.283,1346.355
1,1,14,815,143,28.595,1,791.081,54.046,1226.568,1106.807,1200.545
1,1,15,732,126,28.104,1,577.994,47.133,914.049,824.294,965.5505
1,1,16,505,114,27.404,1,321.397,38.166,507.489,454.497,639.3955
1,1,17,158,48,27.055,1,92.542,29.646,145.908,123.449,288.973
1,1,18,0,0,26.844,1,0,26.844,0,0,61.7245
1,1,19,0,0,26.366,1,0,26.366,0,0,0
1,1,20,0,0,25.797,2,0,25.797,0,0,0
1,1,21,0,0,25.175,2,0,25.175,0,0,0
1,1,22,0,0,24.613,2,0,24.613,0,0,0
1,1,23,0,0,24.105,3,0,24.105,0,0,0
1,2,0,0,0,23.661,3,0,23.661,0,0,0
1,2,1,0,0,23.338,3,0,23.338,0,0,0
1,2,2,0,0,23.14,3,0,23.14,0,0,0
1,2,3,0,0,22.972,3,0,22.972,0,0,0
1,2,4,0,0,22.81,3,0,22.81,0,0,0
1,2,5,0,0,22.728,3,0,22.728,0,0,0
1,2,6,0,1,23.109,3,0.945,21.609,1.734,0,0
1,2,7,432,75,24.168,3,303.821,29.927,514.325,460.735,230.3675
1,2,8,656,110,25.774,3,580.578,38.687,969.862,874.86,667.7975
1,2,9,786,136,26.902,2,817.781,48.115,1313.07,1184.735,1029.7975
1,2,10,843,149,27.733,2,967.112,53.178,1514.655,1365.886,1275.3105
1,2,11,870,155,28.329,2,1038.619,55.846,1603.708,1445.711,1405.7985
1,2,12,874,156,28.723,1,1029.849,60.815,1546.591,1394.528,1420.1195
1,2,13,826,161,28.891,1,925.371,58.209,1408.831,1270.868,1332.698
1,2,14,546,239,28.731,1,683.639,51.183,1077.948,972.646,1121.757
1,2,15,460,198,28.255,1,491.243,44.392,792.907,714.375,843.5105
1,2,16,420,129,27.543,1,305.096,37.44,488.032,436.734,575.5545
1,2,17,37,49,26.915,1,68.343,28.657,117.173,97.053,266.8935
1,2,18,0,0,26.507,2,0,26.507,0,0,48.5265
1,2,19,0,0,25.954,2,0,25.954,0,0,0
1,2,20,0,0,25.346,2,0,25.346,0,0,0
1,2,21,0,0,24.73,3,0,24.73,0,0,0
1,2,22,0,0,24.183,3,0,24.183,0,0,0
1,2,23,0,0,23.637,3,0,23.637,0,0,0
1,3,0,0,0,23.162,3,0,23.162,0,0,0
1,3,1,0,0,22.827,3,0,22.827,0,0,0
1,3,2,0,0,22.607,3,0,22.607,0,0,0
1,3,3,0,0,22.419,3,0,22.419,0,0,0
1,3,4,0,0,22.268,3,0,22.268,0,0,0
1,3,5,0,0,22.113,3,0,22.113,0,0,0
1,3,6,0,1,22.608,3,0.945,21.093,1.738,0,0
1,3,7,428,75,23.904,3,301.082,29.595,510.352,457.11,228.555
1,3,8,672,113,25.32,3,593.914,38.535,992.782,895.612,676.361
1,3,9,794,137,26.445,3,824.832,45.527,1342.424,1211.152,1053.382
1,3,10,853,149,27.452,2,976.193,53.146,1529.136,1378.876,1295.014
1,3,11,879,125,28.225,2,1008.16,55.051,1563.482,1409.669,1394.2725
1,3,12,886,157,28.728,1,1043.079,61.058,1564.318,1410.418,1410.0435
1,3,13,869,153,28.929,1,956.436,59.107,1448.841,1306.813,1358.6155
1,3,14,826,144,28.771,1,802.681,54.567,1241.188,1119.986,1213.3995
1,3,15,745,127,28.253,1,588.907,47.628,929.254,838.075,979.0305
1,3,16,534,118,27.491,1,338.062,38.793,532.317,477.153,657.614
1,3,17,125,52,26.922,1,91.488,29.557,147.789,125.176,301.1645
1,3,18,0,0,26.49,1,0,26.49,0,0,62.588
1,3,19,0,0,25.919,2,0,25.919,0,0,0
1,3,20,0,0,25.329,2,0,25.329,0,0,0
1,3,21,0,0,24.73,2,0,24.73,0,0,0
1,3,22,0,0,24.134,2,0,24.134,0,0,0
1,3,23,0,0,23.553,3,0,23.553,0,0,0
1,4,0,0,0,22.993,3,0,22.993,0,0,0
1,4,1,0,0,22.517,3,0,22.517,0,0,0
1,4,2,0,0,22.187,3,0,22.187,0,0,0
1,4,3,0,0,22.009,3,0,22.009,0,0,0
1,4,4,0,0,21.883,3,0,21.883,0,0,0
1,4,5,0,0,21.797,3,0,21.797,0,0,0
1,4,6,0,1,22.277,3,0.945,20.753,1.74,0,0
1,4,7,459,71,23.476,3,310.924,29.394,526.516,471.86,235.93
1,4,8,695,117,24.972,3,613.072,38.65,1024.09,923.943,697.9015
1,4,9,804,138,26.028,3,833.556,45.357,1357.779,1224.967,1074.455
1,4,10,855,120,26.886,2,940.117,51.765,1483.609,1338.028,1281.4975
1,4,11,888,156,27.509,2,1057.648,55.447,1636.676,1475.232,1406.63
1,4,12,892,158,27.849,2,1050.481,55.912,1621.301,1461.467,1468.3495
1,4,13,874,154,27.955,2,962.815,53.916,1500.913,1353.557,1407.512
1,4,14,831,144,27.806,2,807.559,49.807,1281.261,1156.092,1254.8245
1,4,15,750,128,27.439,1,593.992,47.004,940.565,848.324,1002.208
1,4,16,536,119,26.945,1,340.632,38.349,537.904,482.25,665.287
1,4,17,109,56,26.459,1,94.824,29.2,155.734,132.473,307.3615
1,4,18,0,0,26.258,1,0,26.258,0,0,66.2365
1,4,19,0,0,25.807,2,0,25.807,0,0,0
1,4,20,0,0,25.234,2,0,25.234,0,0,0
1,4,21,0,0,24.576,3,0,24.576,0,0,0
1,4,22,0,0,23.892,3,0,23.892,0,0,0
1,4,23,0,0,23.262,3,0,23.262,0,0,0
1,5,0,0,0,22.743,3,0,22.743,0,0,0
1,5,1,0,0,22.325,3,0,22.325,0,0,0
1,5,2,0,0,22.069,3,0,22.069,0,0,0
1,5,3,0,0,21.881,3,0,21.881,0,0,0
1,5,4,0,0,21.738,3,0,21.738,0,0,0
1,5,5,0,0,21.633,3,0,21.633,0,0,0
1,5,6,0,1,22.017,3,0.945,20.486,1.742,0,0
1,5,7,422,74,23.12,3,295.505,28.669,502.721,450.144,225.072
1,5,8,669,114,24.611,3,591.11,37.753,991.771,894.696,672.42
1,5,9,802,138,25.817,2,831.167,47.422,1339.326,1208.365,1051.5305
1,5,10,860,150,26.877,2,983.183,52.782,1543.11,1391.406,1299.8855
1,5,11,886,156,27.715,2,1055.764,55.712,1631.39,1470.5,1430.953
1,5,12,890,157,28.276,1,1047.974,60.931,1572.803,1418.023,1444.2615
1,5,13,871,153,28.559,1,959.897,58.871,1456.057,1313.293,1365.658
1,5,14,828,144,28.475,1,806.271,54.397,1248.067,1126.185,1219.739
1,5,15,746,128,28.15,1,592.684,47.648,935.554,843.783,984.984
1,5,16,538,119,27.628,1,342.166,39.066,538.603,482.888,663.3355
1,5,17,116,57,27.197,1,97.797,30.057,159.565,135.99,309.439
1,5,18,0,0,26.918,1,0,26.918,0,0,67.995
1,5,19,0,0,26.46,1,0,26.46,0,0,0
1,5,20,0,0,25.916,2,0,25.916,0,0,0
1,5,21,0,0,25.315,2,0,25.315,0,0,0
1,5,22,0,0,24.696,2,0,24.696,0,0,0
1,5,23,0,0,24.09,3,0,24.09,0,0,0
1,6,0,0,0,23.617,3,0,23.617,0,0,0
1,6,1,0,0,23.228,3,0,23.228,0,0,0
1,6,2,0,0,22.884,3,0,22.884,0,0,0
1,6,3,0,0,22.627,3,0,22.627,0,0,0
1,6,4,0,0,22.431,3,0,22.431,0,0,0
1,6,5,0,0,22.296,3,0,22.296,0,0,0
1,6,6,0,1,22.745,3,0.945,21.235,1.736,0,0
1,6,7,455,78,24.093,3,315.12,30.117,531.958,476.825,238.4125
1,6,8,674,115,25.825,2,594.693,40.754,982.7,886.484,681.6545
1,6,9,783,136,27.161,2,812.455,48.275,1303.279,1175.92,1031.202
1,6,10,840,148,28.226,2,961.891,53.51,1503.751,1356.104,1266.012
1,6,11,866,155,29.07,1,1035.01,61.006,1552.815,1400.107,1378.1055
1,6,12,870,156,29.675,1,1027.901,61.634,1536.547,1385.521,1392.814
1,6,13,852,152,29.941,1,942.54,59.633,1423.672,1284.204,1334.8625
1,6,14,808,142,29.807,1,789.678,55.146,1217.49,1098.621,1191.4125
1,6,15,727,126,29.55,1,580.322,48.589,911.757,822.217,960.419
1,6,16,577,100,28.731,1,338.182,39.991,526.825,472.142,647.1795
1,6,17,86,54,27.586,1,86.78,30.091,143.445,121.187,296.6645
1,6,18,0,0,27.19,1,0,27.19,0,0,60.5935
1,6,19,0,0,26.521,2,0,26.521,0,0,0
1,6,20,0,0,25.834,2,0,25.834,0,0,0
1,6,21,0,0,25.195,2,0,25.195,0,0,0
1,6,22,0,0,24.638,2,0,24.638,0,0,0
1,6,23,0,0,24.162,2,0,24.162,0,0,0
1,7,0,0,0,23.788,3,0,23.788,0,0,0
1,7,1,0,0,23.509,3,0,23.509,0,0,0
1,7,2,0,0,23.283,3,0,23.283,0,0,0
1,7,3,0,0,23.115,3,0,23.115,0,0,0
1,7,4,0,0,22.99,3,0,22.99,0,0,0
1,7,5,0,0,22.878,3,0,22.878,0,0,0
1,7,6,0,0,23.399,3,0,23.399,0,0,0
1,7,7,445,78,24.738,3,309.481,30.635,521.073,466.893,233.4465
1,7,8,665,114,26.287,3,586.575,39.348,976.104,880.513,673.703
1,7,9,775,135,27.47,3,804.037,46.05,1304.892,1177.372,1028.9425
1,7,10,833,148,28.367,3,954.996,50.738,1515.428,1366.58,1271.976
1,7,11,859,154,29.034,3,1027.125,53.281,1608.33,1449.851,1408.2155
1,7,12,861,155,29.463,2,1018.544,56.607,1566.023,1411.947,1430.899
1,7,13,842,151,29.473,2,933.259,54.574,1449.714,1307.597,1359.772
1,7,14,798,142,29.071,2,782.908,50.348,1238.865,1117.892,1212.7445
1,7,15,620,173,28.953,2,563.918,44.437,908.007,818.818,968.355
1,7,16,124,159,27.972,2,223.746,34.157,377.689,335.891,577.3545
1,7,17,123,55,27.023,2,95.861,28.737,156.369,133.055,234.473
1,7,18,0,0,26.429,3,0,26.429,0,0,66.5275
1,7,19,0,0,25.872,3,0,25.872,0,0,0
1,7,20,0,0,25.391,3,0,25.391,0,0,0
1,7,21,0,0,25.016,3,0,25.016,0,0,0
1,7,22,0,0,24.691,3,0,24.691,0,0,0
1,7,23,0,0,24.42,3,0,24.42,0,0,0
1,8,0,0,0,24.2,3,0,24.2,0,0,0
1,8,1,0,0,24.032,3,0,24.032,0,0,0
1,8,2,0,0,23.893,3,0,23.893,0,0,0
1,8,3,0,0,23.792,3,0,23.792,0,0,0
1,8,4,0,0,23.746,3,0,23.746,0,0,0
1,8,5,0,0,23.716,3,0,23.716,0,0,0
1,8,6,0,0,24.229,3,0,24.229,0,0,0
1,8,7,413,74,25.411,3,288.899,30.834,485.929,434.814,217.407
1,8,8,646,113,26.782,3,571.71,39.453,950.81,857.605,646.2095
1,8,9,756,134,27.941,3,786.456,46.087,1276.093,1151.438,1004.5215
1,8,10,815,146,28.922,3,935.628,50.814,1484.089,1338.459,1244.9485
1,8,11,842,152,29.676,3,1008.277,53.45,1577.37,1422.116,1380.2875
1,8,12,847,154,30.094,2,1004.29,56.821,1542.291,1390.672,1406.394
1,8,13,830,150,29.986,2,922.142,54.762,1431.007,1290.794,1340.733
1,8,14,334,330,29.509,2,611.898,46.567,990.273,893.34,1092.067
1,8,15,506,196,28.924,2,520.377,42.824,846.864,763.362,828.351
1,8,16,562,99,28.214,2,332.774,37.084,526.809,472.128,617.745
1,8,17,177,53,27.337,2,103.835,29.625,163.802,139.88,306.004
1,8,18,0,0,26.812,3,0,26.812,0,0,69.94
1,8,19,0,0,26.342,3,0,26.342,0,0,0
1,8,20,0,0,25.946,3,0,25.946,0,0,0
1,8,21,0,0,25.624,3,0,25.624,0,0,0
1,8,22,0,0,25.41,3,0,25.41,0,0,0
1,8,23,0,0,25.302,3,0,25.302,0,0,0
1,9,0,0,0,25.241,3,0,25.241,0,0,0
1,9,1,0,0,25.234,3,0,25.234,0,0,0
1,9,2,0,0,25.282,3,0,25.282,0,0,0
1,9,3,0,0,25.339,3,0,25.339,0,0,0
1,9,4,0,0,25.341,3,0,25.341,0,0,0
1,9,5,0,0,25.367,3,0,25.367,0,0,0
1,9,6,0,0,25.563,3,0,25.563,0,0,0
1,9,7,275,91,26.051,3,237.241,30.269,403.385,359.392,179.696
1,9,8,635,112,26.809,3,562.312,39.145,936.552,844.688,602.04
1,9,9,106,294,27.697,3,394.19,36.948,671.416,603.91,724.299
1,9,10,364,347,28.397,3,713.862,44.512,1170.701,1056.415,830.1625
1,9,11,32,311,28.98,2,344.849,38.746,582.556,522.97,789.6925
1,9,12,6,222,29.216,2,220.607,34.654,380.337,338.314,430.642
1,9,13,26,343,29.204,1,360.524,39.574,606.46,544.756,441.535
1,9,14,15,262,28.753,1,268.19,36.967,456.977,408.372,476.564
1,9,15,0,93,28.172,2,88.661,29.87,156.456,133.135,270.7535
1,9,16,0,58,27.498,2,55.199,27.695,98.426,79.826,106.4805
1,9,17,0,17,26.799,3,16.112,25.919,28.972,15.952,47.889
1,9,18,0,0,26.321,3,0,26.321,0,0,7.976
1,9,19,0,0,25.942,4,0,25.942,0,0,0
1,9,20,0,0,25.587,4,0,25.587,0,0,0
1,9,21,0,0,25.329,4,0,25.329,0,0,0
1,9,22,0,0,25.15,3,0,25.15,0,0,0
1,9,23,0,0,25.01,3,0,25.01,0,0,0
1,10,0,0,0,24.872,3,0,24.872,0,0,0
1,10,1,0,0,24.771,3,0,24.771,0,0,0
1,10,2,0,0,24.663,3,0,24.663,0,0,0
1,10,3,0,0,24.545,3,0,24.545,0,0,0
1,10,4,0,0,24.425,3,0,24.425,0,0,0
1,10,5,0,0,24.324,4,0,24.324,0,0,0
1,10,6,0,0,24.626,4,0,24.626,0,0,0
1,10,7,335,87,25.447,4,260.922,29.812,442.793,395.413,197.7065
1,10,8,168,228,26.552,3,351.129,34.08,603.943,542.461,468.937
1,10,9,193,302,27.588,3,475.049,38.196,803.789,724.259,633.36
1,10,10,423,327,28.449,3,757.217,45.716,1234.033,1113.537,918.898
1,10,11,50,273,29.068,3,323.237,37.156,550.408,493.656,803.5965
1,10,12,553,187,29.419,2,757.066,48.354,1217.061,1098.235,795.9455
1,10,13,13,238,29.348,1,242.612,38.541,410.249,365.668,731.9515
1,10,14,1,186,28.879,1,180.564,33.889,312.466,276.195,320.9315
1,10,15,6,203,28.358,1,203.542,33.778,352.258,312.623,294.409
1,10,16,0,102,27.831,1,100.902,30.139,177.827,152.755,232.689
1,10,17,0,28,27.12,2,27.963,26.611,50.118,35.407,94.081
1,10,18,0,0,26.803,2,0,26.803,0,0,17.7035
1,10,19,0,0,26.464,3,0,26.464,0,0,0
1,10,20,0,0,26.165,3,0,26.165,0,0,0
1,10,21,0,0,25.899,3,0,25.899,0,0,0
1,10,22,0,0,25.61,3,0,25.61,0,0,0
1,10,23,0,0,25.366,3,0,25.366,0,0,0
1,11,0,0,0,25.173,3,0,25.173,0,0,0
1,11,1,0,0,25.053,3,0,25.053,0,0,0
1,11,2,0,0,24.985,3,0,24.985,0,0,0
1,11,3,0,0,24.981,3,0,24.981,0,0,0
1,11,4,0,0,24.968,3,0,24.968,0,0,0
1,11,5,0,0,24.998,3,0,24.998,0,0,0
1,11,6,0,0,25.33,3,0,25.33,0,0,0
1,11,7,213,109,26.07,3,220.107,29.883,377.017,335.277,167.6385
1,11,8,0,80,27.078,3,76.054,28.052,135.384,113.783,224.53
1,11,9,0,103,28.093,3,98.189,29.26,173.779,149.039,131.411
1,11,10,0,127,28.976,3,121.557,30.775,213.573,185.555,167.297
1,11,11,9,277,29.459,3,278.302,34.997,478.997,428.484,307.0195
1,11,12,17,337,29.508,2,346.452,38,587.458,527.438,477.961
1,11,13,10,269,29.24,2,270.912,35.99,463.979,414.768,471.103
1,11,14,0,149,28.877,1,143.114,32.857,248.92,217.969,316.3685
1,11,15,0,119,28.457,1,114.306,30.918,200.694,173.74,195.8545
1,11,16,0,59,27.903,1,56.161,28.353,99.828,81.114,127.427
1,11,17,0,18,27.266,1,17.062,26.136,30.65,17.496,49.305
1,11,18,0,0,26.957,2,0,26.957,0,0,8.748
1,11,19,0,0,26.597,2,0,26.597,0,0,0
1,11,20,0,0,26.287,2,0,26.287,0,0,0
1,11,21,0,0,25.997,2,0,25.997,0,0,0
1,11,22,0,0,25.731,2,0,25.731,0,0,0
1,11,23,0,0,25.468,2,0,25.468,0,0,0
1,12,0,0,0,25.239,2,0,25.239,0,0,0
1,12,1,0,0,25.037,2,0,25.037,0,0,0
1,12,2,0,0,24.878,2,0,24.878,0,0,0
1,12,3,0,0,24.771,3,0,24.771,0,0,0
1,12,4,0,0,24.677,3,0,24.677,0,0,0
1,12,5,0,0,24.639,3,0,24.639,0,0,0
1,12,6,0,0,24.952,3,0,24.952,0,0,0
1,12,7,143,100,25.702,3,176.711,28.481,306.182,270.44,135.22
1,12,8,358,194,26.778,3,449.209,36.376,761.191,685.56,478
1,12,9,16,185,27.855,3,191.778,32.141,334.645,296.502,491.031
1,12,10,165,369,28.768,3,539.395,40.473,903.163,814.426,555.464
1,12,11,280,382,29.254,3,685.854,45.06,1121.84,1012.304,913.365
1,12,12,14,244,29.353,2,250.218,36.611,427.229,381.19,696.747
1,12,13,3,182,29.153,2,178.021,33.18,309.141,273.15,327.17
1,12,14,29,267,28.777,2,291.947,35.545,500.879,448.463,360.8065
1,12,15,198,260,28.425,1,393.73,40.086,655.179,589.129,518.796
1,12,16,0,102,27.743,2,100.678,30.153,177.421,152.382,370.7555
1,12,17,108,71,27.116,2,118.639,29.04,198.178,171.431,161.9065
1,12,18,0,0,26.647,3,0,26.647,0,0,85.7155
1,12,19,0,0,26.26,3,0,26.26,0,0,0
1,12,20,0,0,25.875,3,0,25.875,0,0,0
1,12,21,0,0,25.521,3,0,25.521,0,0,0
1,12,22,0,0,25.237,3,0,25.237,0,0,0
1,12,23,0,0,25.047,3,0,25.047,0,0,0
1,13,0,0,0,24.895,3,0,24.895,0,0,0
1,13,1,0,0,24.765,3,0,24.765,0,0,0
1,13,2,0,0,24.686,3,0,24.686,0,0,0
1,13,3,0,0,24.638,3,0,24.638,0,0,0
1,13,4,0,0,24.564,4,0,24.564,0,0,0
1,13,5,0,0,24.518,4,0,24.518,0,0,0
1,13,6,0,0,24.882,4,0,24.882,0,0,0
1,13,7,296,88,25.708,4,241.814,29.665,411.117,366.461,183.2305
1,13,8,642,112,26.78,4,563.739,38.084,943.499,850.982,608.7215
1,13,9,650,170,27.815,3,736.609,44.833,1203.183,1085.72,968.351
1,13,10,813,146,28.763,3,932.51,50.482,1481.749,1336.359,1211.0395
1,13,11,331,365,29.533,3,718.291,46.942,1163.422,1049.847,1193.103
1,13,12,656,266,29.861,2,941.477,54.335,1465.747,1321.994,1185.9205
1,13,13,649,283,29.672,2,901.712,53.805,1406.992,1269.215,1295.6045
1,13,14,0,149,29.358,2,143.088,34.513,246.862,216.083,742.649
1,13,15,404,240,28.899,2,502.666,40.969,828.619,746.803,481.443
1,13,16,116,165,28.265,1,223.468,35.76,375.023,333.453,540.128
1,13,17,0,47,27.426,2,52.701,27.997,93.837,75.608,204.5305
1,13,18,0,0,26.997,2,0,26.997,0,0,37.804
1,13,19,0,0,26.513,2,0,26.513,0,0,0
1,13,20,0,0,26.08,3,0,26.08,0,0,0
1,13,21,0,0,25.688,3,0,25.688,0,0,0
1,13,22,0,0,25.383,3,0,25.383,0,0,0
1,13,23,0,0,25.133,3,0,25.133,0,0,0
1,14,0,0,0,24.948,3,0,24.948,0,0,0
1,14,1,0,0,24.845,3,0,24.845,0,0,0
1,14,2,0,0,24.88,3,0,24.88,0,0,0
1,14,3,0,0,24.945,3,0,24.945,0,0,0
1,14,4,0,0,25.02,3,0,25.02,0,0,0
1,14,5,0,0,25.126,3,0,25.126,0,0,0
1,14,6,0,0,25.309,3,0,25.309,0,0,0
1,14,7,363,77,25.608,3,260.601,30.368,439.065,392.006,196.003
1,14,8,332,182,25.9,3,417.925,34.972,713.05,641.792,516.899
1,14,9,292,287,26.207,3,549.112,38.668,926.529,835.605,738.6985
1,14,10,805,145,26.558,2,923.704,50.271,1469.404,1325.278,1080.4415
1,14,11,570,288,26.939,2,884.256,50.72,1403.869,1266.409,1295.8435
1,14,12,325,394,27.509,1,739.412,51.389,1169.691,1055.504,1160.9565
1,14,13,827,150,28.299,1,923.781,56.575,1419.494,1280.45,1167.977
1,14,14,401,327,28.413,1,662.385,50.289,1050.993,948.277,1114.3635
1,14,15,16,201,28.203,1,207.139,35.921,354.444,314.623,631.45
1,14,16,0,83,27.847,1,80.504,29.528,142.297,120.132,217.3775
1,14,17,0,19,27.296,1,18.012,26.319,32.328,19.04,69.586
1,14,18,0,0,26.951,2,0,26.951,0,0,9.52
1,14,19,0,0,26.516,2,0,26.516,0,0,0
1,14,20,0,0,26.067,3,0,26.067,0,0,0
1,14,21,0,0,25.644,3,0,25.644,0,0,0
1,14,22,0,0,25.261,3,0,25.261,0,0,0
1,14,23,0,0,24.961,3,0,24.961,0,0,0
1,15,0,0,0,24.703,3,0,24.703,0,0,0
1,15,1,0,0,24.517,3,0,24.517,0,0,0
1,15,2,0,0,24.355,3,0,24.355,0,0,0
1,15,3,0,0,24.268,3,0,24.268,0,0,0
1,15,4,0,0,24.21,3,0,24.21,0,0,0
1,15,5,0,0,24.19,3,0,24.19,0,0,0
1,15,6,0,0,24.647,3,0,24.647,0,0,0
1,15,7,419,75,25.511,4,287.714,30.454,483.415,432.519,216.2595
1,15,8,645,112,26.544,4,564.16,37.947,944.638,852.014,642.2665
1,15,9,757,134,27.605,4,783.196,44.092,1283.82,1158.397,1005.2055
1,15,10,818,147,28.591,3,937.854,50.534,1489.821,1343.604,1251.0005
1,15,11,847,153,29.395,3,1015.248,53.335,1589.284,1432.791,1388.1975
1,15,12,853,155,29.875,3,1014.533,53.948,1582.801,1426.982,1429.8865
1,15,13,838,151,30.087,2,935.523,55.204,1448.434,1306.447,1366.7145
1,15,14,798,143,29.888,2,790.821,51.335,1245.391,1123.774,1215.1105
1,15,15,723,127,29.368,2,586.734,45.434,938.775,846.702,985.238
1,15,16,581,102,28.71,1,347.523,40.271,542.958,486.86,666.781
1,15,17,0,47,27.745,1,52.418,29.214,92.792,74.647,280.7535
1,15,18,0,0,27.289,2,0,27.289,0,0,37.3235
1,15,19,0,0,26.822,2,0,26.822,0,0,0
1,15,20,0,0,26.311,2,0,26.311,0,0,0
1,15,21,0,0,25.841,2,0,25.841,0,0,0
1,15,22,0,0,25.423,2,0,25.423,0,0,0
1,15,23,0,0,25.136,2,0,25.136,0,0,0
1,16,0,0,0,24.884,2,0,24.884,0,0,0
1,16,1,0,0,24.654,2,0,24.654,0,0,0
1,16,2,0,0,24.438,2,0,24.438,0,0,0
1,16,3,0,0,24.27,3,0,24.27,0,0,0
1,16,4,0,0,24.139,3,0,24.139,0,0,0
1,16,5,0,0,24.068,3,0,24.068,0,0,0
1,16,6,0,0,24.573,3,0,24.573,0,0,0
1,16,7,92,95,25.725,3,141.55,27.67,247.31,216.494,108.247
1,16,8,499,159,26.986,3,512.102,37.948,859.044,774.414,495.454
1,16,9,757,134,28.087,3,782.663,46.011,1270.21,1146.137,960.2755
1,16,10,290,337,29.011,3,632.104,44.168,1038.488,936.968,1041.5525
1,16,11,846,153,29.709,2,1014.406,55.695,1567.651,1413.406,1175.187
1,16,12,809,180,30.071,2,997.892,56.665,1533.843,1383.097,1398.2515
1,16,13,648,252,29.964,2,872.22,53.533,1363.003,1229.666,1306.3815
1,16,14,235,355,29.524,2,554.673,45.026,905.626,816.659,1023.1625
1,16,15,468,221,28.959,2,526.946,42.856,859.343,774.685,795.672
1,16,16,258,170,28.218,2,288.052,35.956,475.517,425.306,599.9955
1,16,17,0,52,27.36,2,59.54,28.323,105.85,86.649,255.9775
1,16,18,0,0,26.887,2,0,26.887,0,0,43.3245
1,16,19,0,0,26.342,3,0,26.342,0,0,0
1,16,20,0,0,25.814,3,0,25.814,0,0,0
1,16,21,0,0,25.37,3,0,25.37,0,0,0
1,16,22,0,0,25.016,3,0,25.016,0,0,0
1,16,23,0,0,24.706,3,0,24.706,0,0,0
1,17,0,0,0,24.42,3,0,24.42,0,0,0
1,17,1,0,0,24.142,3,0,24.142,0,0,0
1,17,2,0,0,23.949,3,0,23.949,0,0,0
1,17,3,0,0,23.818,3,0,23.818,0,0,0
1,17,4,0,0,23.713,3,0,23.713,0,0,0
1,17,5,0,0,23.661,3,0,23.661,0,0,0
1,17,6,0,0,24.123,3,0,24.123,0,0,0
1,17,7,422,75,25.196,3,287.684,30.586,482.615,431.788,215.894
1,17,8,649,113,26.388,3,566.377,38.937,943.46,850.947,641.3675
1,17,9,762,134,27.569,3,786.291,45.706,1278.097,1153.242,1002.0945
1,17,10,822,147,28.572,3,941.229,50.596,1494.687,1347.971,1250.6065
1,17,11,851,154,29.301,3,1020.583,53.367,1597.361,1440.026,1393.9985
1,17,12,856,155,29.732,3,1018.379,53.905,1589.19,1432.706,1436.366
1,17,13,841,152,29.853,3,940.626,52.33,1479.312,1334.171,1383.4385
1,17,14,801,143,29.639,3,794.625,48.751,1268.844,1144.907,1239.539
1,17,15,552,192,29.131,2,548.843,44.271,886.933,799.711,972.309
1,17,16,103,173,28.36,2,226.804,34.581,383.984,341.65,570.6805
1,17,17,37,64,27.461,2,90.9,29.064,156.912,133.554,237.602
1,17,18,0,0,26.97,2,0,26.97,0,0,66.777
1,17,19,0,0,26.412,3,0,26.412,0,0,0
1,17,20,0,0,25.846,3,0,25.846,0,0,0
1,17,21,0,0,25.357,3,0,25.357,0,0,0
1,17,22,0,0,24.939,3,0,24.939,0,0,0
1,17,23,0,0,24.584,3,0,24.584,0,0,0
1,18,0,0,0,24.267,3,0,24.267,0,0,0
1,18,1,0,0,23.988,3,0,23.988,0,0,0
1,18,2,0,0,23.774,3,0,23.774,0,0,0
1,18,3,0,0,23.619,3,0,23.619,0,0,0
1,18,4,0,0,23.495,3,0,23.495,0,0,0
1,18,5,0,0,23.416,3,0,23.416,0,0,0
1,18,6,0,0,23.978,3,0,23.978,0,0,0
1,18,7,201,92,25.132,3,193.291,28.292,332.396,294.443,147.2215
1,18,8,555,150,26.356,3,542.306,38.132,908.229,819.019,556.731
1,18,9,657,178,27.477,3,748.331,44.714,1222.998,1103.588,961.3035
1,18,10,373,338,28.458,3,710.787,45.305,1160.856,1047.53,1075.559
1,18,11,252,406,29.205,3,682.791,45.331,1115.268,1006.368,1026.949
1,18,12,97,420,29.657,2,522.134,43.801,859.634,774.949,890.6585
1,18,13,58,350,29.642,2,406.707,40.408,681.231,612.843,693.896
1,18,14,430,319,29.258,2,677.556,46.474,1096.911,989.783,801.313
1,18,15,723,128,28.893,2,589.763,44.716,947.57,854.67,922.2265
