Month,Day,Hour,PV_component,Demand
4,12,4,0.0,2.0
4,12,5,0.0,2.5
4,12,6,0.07470700000000001,1.5
4,12,7,0.809442,1.5
4,12,8,1.5347520000000001,5.0
4,12,9,2.068854,5.5
4,12,10,2.408719,4.5
4,12,11,2.610535,6.5
4,12,12,2.586979,2.5
4,12,13,2.3787540000000003,6.0
4,12,14,1.9754720000000001,6.0
4,12,15,1.39445,6.0
4,12,16,0.716277,4.0
4,12,17,0.20715,6.5
4,12,18,0.0,5.5
4,12,19,0.0,6.5
4,12,20,0.0,6.0
4,12,21,0.0,5.0
4,12,22,0.0,3.0
4,12,23,0.0,2.0
4,13,0,0.0,2.5
4,13,1,0.0,2.5
4,13,2,0.0,2.0
4,13,3,0.0,2.0
4,13,4,0.0,2.0
4,13,5,0.0,2.5
4,13,6,0.085775,1.5
4,13,7,0.726295,1.5
4,13,8,1.556214,5.0
4,13,9,2.107041,5.5
4,13,10,2.460918,4.5
4,13,11,2.607913,6.5
4,13,12,2.616772,2.5
4,13,13,2.370018,6.0
4,13,14,1.9690880000000002,6.0
4,13,15,1.3858,6.0
4,13,16,0.7096779999999999,4.0
4,13,17,0.199919,6.5
4,13,18,0.0,5.5
4,13,19,0.0,6.5
4,13,20,0.0,6.0
4,13,21,0.0,5.0
4,13,22,0.0,3.0
4,13,23,0.0,2.0
4,14,0,0.0,2.5
4,14,1,0.0,2.5
4,14,2,0.0,2.0
4,14,3,0.0,2.0
4,14,4,0.0,2.0
4,14,5,0.0,2.5
4,14,6,0.08947999999999999,1.5
4,14,7,0.787324,1.5
4,14,8,1.494608,5.0
4,14,9,2.0553529999999998,5.5
4,14,10,2.392246,4.5
4,14,11,2.5334380000000003,6.5
4,14,12,2.50842,2.5
4,14,13,2.310013,6.0
4,14,14,1.9209889999999998,6.0
4,14,15,1.359422,6.0
4,14,16,0.698019,4.0
4,14,17,0.045857,6.5
4,14,18,0.0,5.5
4,14,19,0.0,6.5
4,14,20,0.0,6.0
4,14,21,0.0,5.0
4,14,22,0.0,3.0
4,14,23,0.0,2.0
4,15,0,0.0,2.5
4,15,1,0.0,2.5
4,15,2,0.0,2.0
4,15,3,0.0,2.0
4,15,4,0.0,2.0
4,15,5,0.0,2.5
4,15,6,0.11292999999999999,1.5
4,15,7,0.820839,1.5
4,15,8,1.3881569999999999,5.0
4,15,9,2.0621270000000003,5.5
4,15,10,2.392172,4.5
4,15,11,2.538263,6.5
4,15,12,2.4518419999999996,2.5
4,15,13,2.301887,6.0
4,15,14,1.738127,6.0
4,15,15,1.3514680000000001,6.0
4,15,16,0.324113,4.0
4,15,17,0.046178,6.5
4,15,18,0.0,5.5
4,15,19,0.0,6.5
4,15,20,0.0,6.0
4,15,21,0.0,5.0
4,15,22,0.0,3.0
4,15,23,0.0,2.0
4,16,0,0.0,2.5
4,16,1,0.0,2.5
4,16,2,0.0,2.0
4,16,3,0.0,2.0
4,16,4,0.0,2.0
4,16,5,0.0,2.5
4,16,6,0.105772,1.5
4,16,7,0.817463,1.5
4,16,8,1.519558,5.0
4,16,9,2.087042,5.5
4,16,10,2.290457,4.5
4,16,11,2.357498,6.5
4,16,12,1.666568,2.5
4,16,13,1.955732,6.0
4,16,14,1.726984,6.0
4,16,15,0.9748290000000001,6.0
4,16,16,0.652619,4.0
4,16,17,0.0463,6.5
4,16,18,0.0,5.5
4,16,19,0.0,6.5
4,16,20,0.0,6.0
4,16,21,0.0,5.0
4,16,22,0.0,3.0
4,16,23,0.0,2.0
4,17,0,0.0,2.5
4,17,1,0.0,2.5
4,17,2,0.0,2.0
4,17,3,0.0,2.0
4,17,4,0.0,2.0
4,17,5,0.0,2.5
4,17,6,0.099605,1.5
4,17,7,0.8241200000000001,1.5
4,17,8,1.528671,5.0
4,17,9,1.97347,5.5
4,17,10,2.0650209999999998,4.5
4,17,11,1.674125,6.5
4,17,12,1.068458,2.5
4,17,13,0.45168,6.0
4,17,14,0.388151,6.0
4,17,15,0.35380300000000003,6.0
4,17,16,0.349981,4.0
4,17,17,0.125637,6.5
4,17,18,0.0,5.5
4,17,19,0.0,6.5
4,17,20,0.0,6.0
4,17,21,0.0,5.0
4,17,22,0.0,3.0
4,17,23,0.0,2.0
4,18,0,0.0,2.5
4,18,1,0.0,2.5
4,18,2,0.0,2.0
4,18,3,0.0,2.0
4,18,4,0.0,2.0
4,18,5,0.0,2.5
4,18,6,0.068579,1.5
4,18,7,0.29770399999999997,1.5
4,18,8,0.25725,5.0
4,18,9,0.356511,5.5
4,18,10,0.43364899999999995,4.5
4,18,11,0.482833,6.5
4,18,12,0.47986999999999996,2.5
4,18,13,0.454891,6.0
4,18,14,0.409198,6.0
4,18,15,0.34365,6.0
4,18,16,0.24949699999999997,4.0
4,18,17,0.043135,6.5
4,18,18,0.0,5.5
4,18,19,0.0,6.5
4,18,20,0.0,6.0
4,18,21,0.0,5.0
4,18,22,0.0,3.0
4,18,23,0.0,2.0
4,19,0,0.0,2.5
4,19,1,0.0,2.5
4,19,2,0.0,2.0
4,19,3,0.0,2.0
4,19,4,0.0,2.0
4,19,5,0.0,2.5
4,19,6,0.098813,1.5
4,19,7,0.815917,1.5
4,19,8,1.514233,5.0
4,19,9,2.037919,5.5
4,19,10,2.330577,4.5
4,19,11,2.505624,6.5
4,19,12,2.482197,2.5
4,19,13,2.2682900000000004,6.0
4,19,14,1.8819869999999999,6.0
4,19,15,0.973916,6.0
4,19,16,0.537604,4.0
4,19,17,0.152712,6.5
4,19,18,0.0,5.5
4,19,19,0.0,6.5
4,19,20,0.0,6.0
4,19,21,0.0,5.0
4,19,22,0.0,3.0
4,19,23,0.0,2.0
4,20,0,0.0,2.5
4,20,1,0.0,2.5
4,20,2,0.0,2.0
4,20,3,0.0,2.0
4,20,4,0.0,2.0
4,20,5,0.0,2.5
4,20,6,0.12122899999999999,1.5
4,20,7,0.62312,1.5
4,20,8,1.191252,5.0
4,20,9,1.74065,5.5
4,20,10,1.583895,4.5
4,20,11,2.099042,6.5
4,20,12,2.382175,2.5
4,20,13,2.1505509999999997,6.0
4,20,14,0.546168,6.0
4,20,15,0.289833,6.0
4,20,16,0.172425,4.0
4,20,17,0.043146,6.5
4,20,18,0.0,5.5
4,20,19,0.0,6.5
4,20,20,0.0,6.0
4,20,21,0.0,5.0
4,20,22,0.0,3.0
4,20,23,0.0,2.0
4,21,0,0.0,2.5
4,21,1,0.0,2.5
4,21,2,0.0,2.0
4,21,3,0.0,2.0
4,21,4,0.0,2.0
4,21,5,0.0,2.5
4,21,6,0.11541199999999999,1.5
4,21,7,0.478968,1.5
4,21,8,1.448397,5.0
4,21,9,1.746909,5.5
4,21,10,2.267918,4.5
4,21,11,2.5668599999999997,6.5
4,21,12,2.530205,2.5
4,21,13,1.965954,6.0
4,21,14,1.826798,6.0
4,21,15,1.112844,6.0
4,21,16,0.537709,4.0
4,21,17,0.142515,6.5
4,21,18,0.0,5.5
4,21,19,0.0,6.5
4,21,20,0.0,6.0
4,21,21,0.0,5.0
4,21,22,0.0,3.0
4,21,23,0.0,2.0
4,22,0,0.0,2.5
4,22,1,0.0,2.5
4,22,2,0.0,2.0
4,22,3,0.0,2.0
4,22,4,0.0,2.0
4,22,5,0.0,2.5
4,22,6,0.118055,1.5
4,22,7,0.815607,1.5
4,22,8,1.520292,5.0
4,22,9,2.04394,5.5
4,22,10,2.332374,4.5
4,22,11,2.527199,6.5
4,22,12,2.009748,2.5
4,22,13,1.7268400000000002,6.0
4,22,14,1.76673,6.0
4,22,15,1.071423,6.0
4,22,16,0.642188,4.0
4,22,17,0.167041,6.5
4,22,18,0.0,5.5
4,22,19,0.0,6.5
4,22,20,0.0,6.0
4,22,21,0.0,5.0
4,22,22,0.0,3.0
4,22,23,0.0,2.0
4,23,0,0.0,2.5
4,23,1,0.0,2.5
4,23,2,0.0,2.0
4,23,3,0.0,2.0
4,23,4,0.0,2.0
4,23,5,0.0,2.5
4,23,6,0.058811,1.5
4,23,7,0.6140770000000001,1.5
4,23,8,1.437501,5.0
4,23,9,0.986349,5.5
4,23,10,0.469897,4.5
4,23,11,1.642753,6.5
4,23,12,1.528543,2.5
4,23,13,1.381882,6.0
4,23,14,0.757313,6.0
4,23,15,0.759857,6.0
4,23,16,0.42334799999999995,4.0
4,23,17,0.09429,6.5
4,23,18,0.0,5.5
4,23,19,0.0,6.5
4,23,20,0.0,6.0
4,23,21,0.0,5.0
4,23,22,0.0,3.0
4,23,23,0.0,2.0
4,24,0,0.0,2.5
4,24,1,0.0,2.5
4,24,2,0.0,2.0
4,24,3,0.0,2.0
4,24,4,0.0,2.0
4,24,5,0.0,2.5
4,24,6,0.121773,1.5
4,24,7,0.803089,1.5
4,24,8,1.520229,5.0
4,24,9,2.0216790000000002,5.5
4,24,10,2.265707,4.5
4,24,11,2.506834,6.5
4,24,12,2.375227,2.5
4,24,13,2.011428,6.0
4,24,14,1.622256,6.0
4,24,15,1.154884,6.0
4,24,16,0.480418,4.0
4,24,17,0.13154000000000002,6.5
4,24,18,0.0,5.5
4,24,19,0.0,6.5
4,24,20,0.0,6.0
4,24,21,0.0,5.0
4,24,22,0.0,3.0
4,24,23,0.0,2.0
4,25,0,0.0,2.5
4,25,1,0.0,2.5
4,25,2,0.0,2.0
4,25,3,0.0,2.0
4,25,4,0.0,2.0
4,25,5,0.0,2.5
4,25,6,0.13223800000000002,1.5
4,25,7,0.826958,1.5
4,25,8,1.522398,5.0
4,25,9,1.506353,5.5
4,25,10,2.275271,4.5
4,25,11,2.570682,6.5
4,25,12,2.4039099999999998,2.5
4,25,13,2.16372,6.0
4,25,14,1.745991,6.0
4,25,15,1.247735,6.0
4,25,16,0.679855,4.0
4,25,17,0.144103,6.5
4,25,18,0.0,5.5
4,25,19,0.0,6.5
4,25,20,0.0,6.0
4,25,21,0.0,5.0
4,25,22,0.0,3.0
4,25,23,0.0,2.0
4,26,0,0.0,2.5
4,26,1,0.0,2.5
4,26,2,0.0,2.0
4,26,3,0.0,2.0
4,26,4,0.0,2.0
4,26,5,0.0,2.5
4,26,6,0.108554,1.5
4,26,7,0.604047,1.5
4,26,8,1.505495,5.0
4,26,9,1.6704709999999998,5.5
4,26,10,1.9869419999999998,4.5
4,26,11,2.18152,6.5
4,26,12,2.219518,2.5
4,26,13,2.1811380000000002,6.0
4,26,14,1.70413,6.0
4,26,15,0.62063,6.0
4,26,16,0.307107,4.0
4,26,17,0.114282,6.5
4,26,18,0.0,5.5
4,26,19,0.0,6.5
4,26,20,0.0,6.0
4,26,21,0.0,5.0
4,26,22,0.0,3.0
4,26,23,0.0,2.0
4,27,0,0.0,2.5
4,27,1,0.0,2.5
4,27,2,0.0,2.0
4,27,3,0.0,2.0
4,27,4,0.0,2.0
4,27,5,0.0,2.5
4,27,6,0.10287400000000001,1.5
4,27,7,0.8044100000000001,1.5
4,27,8,1.5356290000000001,5.0
4,27,9,2.027376,5.5
4,27,10,2.34275,4.5
4,27,11,2.418441,6.5
4,27,12,2.299488,2.5
4,27,13,2.240602,6.0
4,27,14,1.8401509999999999,6.0
4,27,15,1.27346,6.0
4,27,16,0.6603439999999999,4.0
4,27,17,0.168399,6.5
4,27,18,0.0,5.5
4,27,19,0.0,6.5
4,27,20,0.0,6.0
4,27,21,0.0,5.0
4,27,22,0.0,3.0
4,27,23,0.0,2.0
4,28,0,0.0,2.5
4,28,1,0.0,2.5
4,28,2,0.0,2.0
4,28,3,0.0,2.0
4,28,4,0.0,2.0
4,28,5,0.0,2.5
4,28,6,0.122975,1.5
4,28,7,0.7120310000000001,1.5
4,28,8,1.4369319999999999,5.0
4,28,9,2.051075,5.5
4,28,10,2.321237,4.5
4,28,11,2.328913,6.5
4,28,12,2.096702,2.5
4,28,13,2.2122490000000004,6.0
4,28,14,1.816452,6.0
4,28,15,1.2549299999999999,6.0
4,28,16,0.634917,4.0
4,28,17,0.155276,6.5
4,28,18,0.0,5.5
4,28,19,0.0,6.5
4,28,20,0.0,6.0
4,28,21,0.0,5.0
4,28,22,0.0,3.0
4,28,23,0.0,2.0
4,29,0,0.0,2.5
4,29,1,0.0,2.5
4,29,2,0.0,2.0
4,29,3,0.0,2.0
4,29,4,0.0,2.0
4,29,5,0.0,2.5
4,29,6,0.132171,1.5
4,29,7,0.74106,1.5
4,29,8,1.429003,5.0
4,29,9,1.821175,5.5
4,29,10,2.3479509999999997,4.5
4,29,11,2.5285860000000002,6.5
4,29,12,2.442478,2.5
4,29,13,2.058385,6.0
4,29,14,1.8389650000000002,6.0
4,29,15,1.2780479999999999,6.0
4,29,16,0.6212,4.0
4,29,17,0.170835,6.5
4,29,18,0.0,5.5
4,29,19,0.0,6.5
4,29,20,0.0,6.0
4,29,21,0.0,5.0
4,29,22,0.0,3.0
4,29,23,0.0,2.0
4,30,0,0.0,2.5
4,30,1,0.0,2.5
4,30,2,0.0,2.0
4,30,3,0.0,2.0
4,30,4,0.0,2.0
4,30,5,0.0,2.5
4,30,6,0.129635,1.5
4,30,7,0.81655,1.5
4,30,8,1.5088190000000001,5.0
4,30,9,1.98515,5.5
4,30,10,2.322441,4.5
4,30,11,2.439804,6.5
4,30,12,2.5163759999999997,2.5
4,30,13,2.280333,6.0
4,30,14,1.863557,6.0
4,30,15,1.2437799999999999,6.0
4,30,16,0.6188939999999999,4.0
4,30,17,0.16897,6.5
4,30,18,0.0,5.5
4,30,19,0.0,6.5
4,30,20,0.0,6.0
4,30,21,0.0,5.0
4,30,22,0.0,3.0
4,30,23,0.0,2.0
5,1,0,0.0,2.5
5,1,1,0.0,2.5
5,1,2,0.0,2.0
5,1,3,0.0,2.0
5,1,4,0.0,2.0
5,1,5,0.0,2.5
5,1,6,0.141451,1.5
5,1,7,0.81655,1.5
5,1,8,1.499867,5.0
5,1,9,1.9551900000000002,5.5
5,1,10,2.3817720000000002,4.5
5,1,11,2.293901,6.5
5,1,12,2.3997330000000003,2.5
5,1,13,2.157963,6.0
5,1,14,1.6969439999999998,6.0
5,1,15,1.138257,6.0
5,1,16,0.628576,4.0
5,1,17,0.167506,6.5
5,1,18,0.0,5.5
5,1,19,0.0,6.5
5,1,20,0.0,6.0
5,1,21,0.0,5.0
5,1,22,0.0,3.0
5,1,23,0.0,2.0
5,2,0,0.0,2.5
5,2,1,0.0,2.5
5,2,2,0.0,2.0
5,2,3,0.0,2.0
5,2,4,0.0,2.0
5,2,5,0.0,2.5
5,2,6,0.12100599999999999,1.5
5,2,7,0.299557,1.5
5,2,8,0.416121,5.0
5,2,9,1.174591,5.5
5,2,10,1.944818,4.5
5,2,11,1.7588529999999998,6.5
5,2,12,2.20545,2.5
5,2,13,2.007787,6.0
5,2,14,0.438226,6.0
5,2,15,0.480328,6.0
5,2,16,0.165881,4.0
5,2,17,0.043071,6.5
5,2,18,0.0,5.5
5,2,19,0.0,6.5
5,2,20,0.0,6.0
5,2,21,0.0,5.0
5,2,22,0.0,3.0
5,2,23,0.0,2.0
5,3,0,0.0,2.5
5,3,1,0.0,2.5
5,3,2,0.0,2.0
5,3,3,0.0,2.0
5,3,4,0.0,2.0
5,3,5,0.0,2.5
5,3,6,0.11374300000000001,1.5
5,3,7,0.494835,1.5
5,3,8,0.7112350000000001,5.0
5,3,9,0.986994,5.5
5,3,10,2.186515,4.5
5,3,11,2.196186,6.5
5,3,12,2.478307,2.5
5,3,13,2.2529169999999996,6.0
5,3,14,1.350438,6.0
5,3,15,0.627514,6.0
5,3,16,0.165394,4.0
5,3,17,0.042908999999999996,6.5
5,3,18,0.0,5.5
5,3,19,0.0,6.5
5,3,20,0.0,6.0
5,3,21,0.0,5.0
5,3,22,0.0,3.0
5,3,23,0.0,2.0
5,4,0,0.0,2.5
